"Season" "Team" "Player" "Position" "Matches" "Goals"
"4296" "2008-09" "Betis" "Sergio Garc°a De la Fuente" "Forward" 19 9
"4297" "2008-09" "Betis" "Mark Dennis Gonz†lez Hoffman" "Forward" 9 4
"4298" "2008-09" "Betis" "Juan Alberto Andreu Alvarado" "Defender" 16 1
"4299" "2008-09" "Betis" "Juan Manuel G¢mez S†nchez" "Midfielder" 6 2
"4300" "2008-09" "Betis" "Ricardo Oliveira" "Forward" 13 6
"4301" "2008-09" "Betis" "Alberto Rivera Pizarro" "Midfielder" 5 0
"4302" "2008-09" "Betis" "Hugo Mariano Pavone" "Forward" 4 2
"4303" "2008-09" "Betis" "Luciano Fabi†n Monz¢n" "Defender" 6 2
"4304" "2008-09" "Betis" "Luis Eduardo Schmidt" "Forward" 6 2
"4305" "2008-09" "Betis" "Juan de Dios Prados L¢pez" "Midfielder" 1 0
"4306" "2008-09" "Betis" "David Rivas Rodr°guez" "Defender" 5 0
"4307" "2008-09" "Betis" "Francisco Javier Mu§oz Llompart" "Forward" 1 1
"4308" "2008-09" "Betis" "JosÇ Mar°a Romero Poy¢n" "Forward" 2 1
"4310" "2008-09" "Betis" "Branko Ilic" "Defender" 1 0
"4313" "2008-09" "Betis" "Marko Babic" "Defender" 1 0
"4315" "2008-09" "Numancia" "Juan Ram¢n Cabrero Obrer" "Midfielder" 29 0
"4316" "2008-09" "Numancia" "Domingo Cisma Gonz†lez" "Midfielder" 30 2
"4317" "2008-09" "Numancia" "Sergio Boris Gonz†lez Monteagudo" "Defender" 27 0
"4318" "2008-09" "Numancia" "Sergio Ortega Gonz†lez" "Defender" 19 0
"4319" "2008-09" "Numancia" "JosÇ Javier Barkero Saludes" "Midfielder" 22 12
"4320" "2008-09" "Numancia" "Txomin Nagore Arbizu" "Midfielder" 30 1
"4321" "2008-09" "Numancia" "Dimas Delgado Morgado" "Midfielder" 11 0
"4322" "2008-09" "Numancia" "Asier Goiria Etxebarria" "Forward" 12 5
"4323" "2008-09" "Numancia" "Javier Del Pino Gonz†lez" "Forward" 7 4
"4324" "2008-09" "Numancia" "Juan Carlos Moreno Rodr°guez" "Forward" 11 3
"4325" "2008-09" "Numancia" "Carlos Bellv°s Llorens" "Midfielder" 7 1
"4326" "2008-09" "Numancia" "Gorka Brit Gallego" "Forward" 2 3
"4327" "2008-09" "Numancia" "Mario Mart°nez Rubio" "Midfielder" 2 1
"4328" "2008-09" "Numancia" "CÇsar Palacios Chocarro" "Midfielder" 12 0
"4329" "2008-09" "Numancia" "Juan Quero Barraso" "Midfielder" 1 0
"4330" "2008-09" "Numancia" "Carlos Reina Aranda" "Forward" 10 6
"4331" "2008-09" "Numancia" "Manuel Pav¢n Castro" "Defender" 12 0
"4332" "2008-09" "Numancia" "Felipe GurÇndez Aldanondo" "Midfielder" 5 0
"4333" "2008-09" "Numancia" "Ra£l Bravo SanfÇlix" "Midfielder" 6 0
"4334" "2008-09" "Numancia" "µlvaro Ant¢n Camarero" "Midfielder" 2 0
"4335" "2008-09" "Numancia" "Egoitz Jaio Gabiola" "Defender" 5 0
"4339" "2008-09" "Recreativo de Huelva" "Nasief Morris" "Defender" 36 1
"4340" "2008-09" "Recreativo de Huelva" "JosÇ Manuel Casado Bizcocho" "Midfielder" 12 0
"4341" "2008-09" "Recreativo de Huelva" "Iago Bouz¢n Amoedo" "Defender" 25 0
"4342" "2008-09" "Recreativo de Huelva" "CÇsar Arzo Amposta" "Defender" 24 0
"4343" "2008-09" "Recreativo de Huelva" "Javier Fuego Mart°nez" "Midfielder" 17 2
"4344" "2008-09" "Recreativo de Huelva" "Aitor Tornavaca Fern†ndez" "Midfielder" 17 2
"4345" "2008-09" "Recreativo de Huelva" "Antonio Jes£s V†zquez Mu§oz" "Midfielder" 23 0
"4346" "2008-09" "Recreativo de Huelva" "Sisinio Gonz†lez Mart°nez" "Midfielder" 6 1
"4347" "2008-09" "Recreativo de Huelva" "Javier Camu§as Gallego" "Forward" 24 10
"4348" "2008-09" "Recreativo de Huelva" "Adri†n Colunga PÇrez" "Forward" 14 9
"4349" "2008-09" "Recreativo de Huelva" "Marco Gast¢n RubÇn Rodr°guez" "Forward" 3 3
"4350" "2008-09" "Recreativo de Huelva" "Rafael Barber Rodr°guez" "Midfielder" 14 0
"4351" "2008-09" "Recreativo de Huelva" "Francisco Javier Garc°a Guerrero" "Forward" 4 2
"4352" "2008-09" "Recreativo de Huelva" "Hip¢lito Fern†ndez Serrano" "Midfielder" 14 0
"4353" "2008-09" "Recreativo de Huelva" "Kanga Gauthier AkalÇ" "Forward" 2 0
"4354" "2008-09" "Recreativo de Huelva" "AndrÇs Lamas Bervejillo" "Defender" 9 0
"4355" "2008-09" "Recreativo de Huelva" "Cristian Omar Maidana" "Midfielder" 1 1
"4356" "2008-09" "Recreativo de Huelva" "Sebasti†n Ricardo Nayar" "Midfielder" 2 0
"4357" "2008-09" "Recreativo de Huelva" "Alain Adrian Nef" "Defender" 8 0
"4358" "2008-09" "Recreativo de Huelva" "Ersen Martin" "Forward" 1 2
"4359" "2008-09" "Recreativo de Huelva" "Pablo Oliveira Serrano" "Midfielder" 2 0
"4360" "2008-09" "Recreativo de Huelva" "Roberto Luis Gaspar De Deus Severo" "Defender" 3 0
"4361" "2008-09" "Recreativo de Huelva" "Enrique µlvarez Sanju†n" "Defender" 1 0
"4365" "2009-10" "Barcelona" "Daniel Alves Da Silva" "Midfielder" 26 3
"4366" "2009-10" "Barcelona" "Maxwell Scherrer Cabelino Andrade" "Midfielder" 22 0
"4367" "2009-10" "Barcelona" "Carles Puyol Saforcada" "Defender" 27 1
"4368" "2009-10" "Barcelona" "Gerard PiquÇ Bernabeu" "Defender" 21 2
"4369" "2009-10" "Barcelona" "Xavier Hern†ndez Creus" "Midfielder" 23 3
"4370" "2009-10" "Barcelona" "Sergio Busquets Burgos" "Midfielder" 20 0
"4371" "2009-10" "Barcelona" "Seydou Keita" "Midfielder" 20 6
"4372" "2009-10" "Barcelona" "Lionel AndrÇs Messi Cuccittini" "Forward" 26 34
"4373" "2009-10" "Barcelona" "Zlatan Ibrahimovic" "Forward" 15 16
"4374" "2009-10" "Barcelona" "Pedro Eliezer Rodr°guez Ledesma" "Forward" 11 12
"4375" "2009-10" "Barcelona" "AndrÇs Iniesta Luj†n" "Midfielder" 13 1
"4376" "2009-10" "Barcelona" "Gnegneri Yaya TourÇ" "Midfielder" 9 1
"4377" "2009-10" "Barcelona" "Thierry Henry" "Forward" 5 4
"4378" "2009-10" "Barcelona" "Bojan Krkic PÇrez" "Forward" 3 8
"4379" "2009-10" "Barcelona" "êric Sylvain Abidal" "Midfielder" 15 0
"4380" "2009-10" "Barcelona" "Dmytro Anatoliyovych Chygrynskiy" "Defender" 8 0
"4381" "2009-10" "Barcelona" "Rafael M†rquez µlvarez" "Defender" 5 1
"4382" "2009-10" "Barcelona" "Gabriel Alejandro Milito" "Defender" 6 0
"4388" "2009-10" "Real Madrid" "Sergio Ramos Garc°a" "Midfielder" 31 4
"4389" "2009-10" "Real Madrid" "Marcelo Vieira Da Silva Junior" "Midfielder" 29 4
"4390" "2009-10" "Real Madrid" "Ra£l Albiol Tortajada" "Defender" 31 0
"4391" "2009-10" "Real Madrid" "µlvaro Arbeloa Coca" "Midfielder" 28 2
"4392" "2009-10" "Real Madrid" "Xabier Alonso Olano" "Midfielder" 27 3
"4393" "2009-10" "Real Madrid" "Esteban FÇlix Granero Molina" "Midfielder" 9 3
"4394" "2009-10" "Real Madrid" "Ricardo Izecson Dos Santos Leite" "Midfielder" 7 8
"4395" "2009-10" "Real Madrid" "Gonzalo Gerardo Higua°n" "Forward" 12 27
"4396" "2009-10" "Real Madrid" "Cristiano Ronaldo Dos Santos Aveiro" "Forward" 22 26
"4397" "2009-10" "Real Madrid" "Karim Mostafa Benzema" "Forward" 4 8
"4398" "2009-10" "Real Madrid" "Lassana Diarra" "Midfielder" 14 1
"4399" "2009-10" "Real Madrid" "Rafael Ferdinand Van der Vaart" "Midfielder" 2 6
"4400" "2009-10" "Real Madrid" "Ezequiel Marcelo Garay Gonz†lez" "Defender" 17 1
"4401" "2009-10" "Real Madrid" "Ra£l Gonz†lez Blanco" "Forward" 3 5
"4402" "2009-10" "Real Madrid" "JosÇ Mar°a GutiÇrrez Hern†ndez" "Midfielder" 5 2
"4403" "2009-10" "Real Madrid" "Fernando RubÇn Gago" "Midfielder" 8 0
"4404" "2009-10" "Real Madrid" "Mahamadou Diarra" "Midfielder" 3 0
"4405" "2009-10" "Real Madrid" "KÇpler Laveran Lima Ferreira" "Defender" 9 1
"4406" "2009-10" "Real Madrid" "Royston Ricky Drenthe" "Midfielder" 2 0
"4407" "2009-10" "Real Madrid" "Christoph Metzelder" "Defender" 2 0
"4412" "2009-10" "Valencia" "Bruno Saltor Grau" "Midfielder" 20 0
"4413" "2009-10" "Valencia" "Luis Miguel Brito Garc°a Monteiro" "Midfielder" 14 0
"4414" "2009-10" "Valencia" "µngel Dealbert Ib†§ez" "Defender" 20 0
"4415" "2009-10" "Valencia" "Alexis Ruano Delgado" "Defender" 20 1
"4416" "2009-10" "Valencia" "Ever Maximiliano David Banega" "Midfielder" 21 2
"4417" "2009-10" "Valencia" "David Albelda AliquÇs" "Midfielder" 14 1
"4418" "2009-10" "Valencia" "David Villa S†nchez" "Forward" 25 21
"4419" "2009-10" "Valencia" "Juan Manuel Mata Garc°a" "Forward" 18 9
"4420" "2009-10" "Valencia" "David JosuÇ JimÇnez Silva" "Forward" 19 8
"4421" "2009-10" "Valencia" "Pablo Hern†ndez Dom°nguez" "Forward" 15 5
"4422" "2009-10" "Valencia" "Joaqu°n S†nchez Rodr°guez" "Forward" 8 2
"4423" "2009-10" "Valencia" "Carlos Marchena L¢pez" "Defender" 10 2
"4424" "2009-10" "Valencia" "David Navarro Pedr¢s" "Defender" 16 2
"4425" "2009-10" "Valencia" "Hedwiges Mart°nez Maduro" "Midfielder" 9 0
"4426" "2009-10" "Valencia" "Jeremy Mathieu" "Midfielder" 9 1
"4427" "2009-10" "Valencia" "Jordi Alba Ramos" "Midfielder" 10 1
"4428" "2009-10" "Valencia" "RubÇn Baraja Vegas" "Midfielder" 3 0
"4429" "2009-10" "Valencia" "Manuel Henrique Tavares Fernandes" "Midfielder" 5 0
"4430" "2009-10" "Valencia" "Nikola Zigic" "Forward" 3 4
"4431" "2009-10" "Valencia" "Alejandro Dami†n Dom°nguez" "Forward" 1 0
"4432" "2009-10" "Valencia" "Vicente Rodr°guez GuillÇn" "Midfielder" 1 0
"4435" "2009-10" "Valencia" "Joel Johnson Alajar°n" "Defender" 1 0
"4436" "2009-10" "Sevilla" "Ivica Dragutinovic" "Defender" 19 2
"4437" "2009-10" "Sevilla" "Fernando Navarro Corbacho" "Midfielder" 23 0
"4438" "2009-10" "Sevilla" "Julien EscudÇ" "Defender" 23 0
"4439" "2009-10" "Sevilla" "Renato Dirnei Florencio Santos" "Midfielder" 23 4
"4440" "2009-10" "Sevilla" "DÇguy Alain Didier Zokora" "Midfielder" 21 0
"4441" "2009-10" "Sevilla" "Adriano Correia Claro" "Midfielder" 17 0
"4442" "2009-10" "Sevilla" "Diego Perotti" "Midfielder" 8 4
"4443" "2009-10" "Sevilla" "Jes£s Navas Gonz†lez" "Forward" 28 4
"4444" "2009-10" "Sevilla" "µlvaro Negredo S†nchez" "Forward" 6 11
"4445" "2009-10" "Sevilla" "Frederic KanoutÇ" "Forward" 7 12
"4446" "2009-10" "Sevilla" "Diego Capel Trinidad" "Midfielder" 5 1
"4447" "2009-10" "Sevilla" "Luis Fabiano Clemente" "Forward" 11 15
"4448" "2009-10" "Sevilla" "Abdoulay Konko" "Midfielder" 12 1
"4449" "2009-10" "Sevilla" "Manuel Jes£s Ortiz Toribio" "Defender" 6 1
"4450" "2009-10" "Sevilla" "Koffi Christian Ndri" "Midfielder" 4 1
"4451" "2009-10" "Sevilla" "Sebastien Squillaci" "Defender" 11 1
"4452" "2009-10" "Sevilla" "Marius Stankevicius" "Midfielder" 10 0
"4453" "2009-10" "Sevilla" "Federico Juli†n Fazio" "Defender" 8 1
"4454" "2009-10" "Sevilla" "Aldo Pedro Duscher" "Midfielder" 3 0
"4455" "2009-10" "Sevilla" "Arouna KonÇ" "Forward" 1 0
"4456" "2009-10" "Sevilla" "Sergio S†nchez Ortega" "Defender" 6 0
"4458" "2009-10" "Sevilla" "Juan Torres Ruiz" "Defender" 5 3
"4462" "2009-10" "Sevilla" "Antonio Manuel Luna Rodr°guez" "Defender" 1 0
"4465" "2009-10" "Mallorca" "JosÇ Miguel Gonz†lez Rey" "Midfielder" 24 0
"4466" "2009-10" "Mallorca" "Ayoze D°az D°az" "Midfielder" 31 0
"4467" "2009-10" "Mallorca" "JosÇ Carlos De Araujo Nunes" "Defender" 33 4
"4468" "2009-10" "Mallorca" "Iv†n Ramis Barrios" "Defender" 23 0
"4469" "2009-10" "Mallorca" "Gonzalo Castro Irizabal" "Midfielder" 23 6
"4470" "2009-10" "Mallorca" "Borja Valero Iglesias" "Midfielder" 21 4
"4471" "2009-10" "Mallorca" "Josep Llu°s Mart° Soler" "Midfielder" 24 1
"4472" "2009-10" "Mallorca" "Mario Su†rez Mata" "Midfielder" 16 5
"4473" "2009-10" "Mallorca" "Aritz Aduriz Zubeldia" "Forward" 18 12
"4474" "2009-10" "Mallorca" "V°ctor Manuel Casades£s Casta§o" "Forward" 2 4
"4475" "2009-10" "Mallorca" "Julio µlvarez Mosquera" "Midfielder" 11 6
"4476" "2009-10" "Mallorca" "Pierre Achille Web¢ Kouamo" "Forward" 1 6
"4477" "2009-10" "Mallorca" "RubÇn Gonz†lez Rocha" "Defender" 16 3
"4478" "2009-10" "Mallorca" "Felipe Mattioni Rohde" "Defender" 10 1
"4479" "2009-10" "Mallorca" "Fernando Varela Ramos" "Midfielder" 3 0
"4480" "2009-10" "Mallorca" "Alhassane Keita Otchico" "Forward" 1 3
"4481" "2009-10" "Mallorca" "Antoni Lluis Adrover Colom" "Midfielder" 1 1
"4483" "2009-10" "Mallorca" "Enrique Corrales Mart°n" "Midfielder" 5 0
"4484" "2009-10" "Mallorca" "Bruno Manuel Rodrigues Silva" "Defender" 1 0
"4487" "2009-10" "Getafe" "JosÇ Manuel JimÇnez Ortiz" "Midfielder" 32 1
"4488" "2009-10" "Getafe" "Miguel Torres G¢mez" "Midfielder" 20 0
"4489" "2009-10" "Getafe" "Daniel Alberto D°az" "Defender" 30 1
"4490" "2009-10" "Getafe" "Rafael L¢pez G¢mez" "Defender" 27 2
"4491" "2009-10" "Getafe" "Derek Owusu Boateng" "Midfielder" 19 0
"4492" "2009-10" "Getafe" "Francisco Javier Casquero Paredes" "Midfielder" 14 5
"4493" "2009-10" "Getafe" "Fabio Celestini" "Midfielder" 18 0
"4494" "2009-10" "Getafe" "Pedro Le¢n S†nchez Gil" "Forward" 18 8
"4495" "2009-10" "Getafe" "Roberto Soldado Rillo" "Forward" 20 16
"4496" "2009-10" "Getafe" "Manuel Del Moral Fern†ndez" "Forward" 7 8
"4497" "2009-10" "Getafe" "Adri†n Gonz†lez Morales" "Midfielder" 8 1
"4498" "2009-10" "Getafe" "Daniel Parejo Mu§oz" "Midfielder" 2 6
"4499" "2009-10" "Getafe" "Jaime Gavil†n Mart°nez" "Midfielder" 2 0
"4500" "2009-10" "Getafe" "David CortÇs Caballero" "Midfielder" 13 0
"4501" "2009-10" "Getafe" "Juan µngel Alb°n Leites" "Midfielder" 7 3
"4502" "2009-10" "Getafe" "Pedro Mario µlvarez Abrante" "Defender" 10 0
"4503" "2009-10" "Getafe" "Pedro R°os Maestre" "Forward" 2 1
"4504" "2009-10" "Getafe" "David Belenguer Reverter" "Defender" 5 0
"4508" "2009-10" "Villarreal" "µngel Domingo L¢pez Ruano" "Midfielder" 18 1
"4509" "2009-10" "Villarreal" "Joan Capdevila MÇndez" "Midfielder" 36 5
"4510" "2009-10" "Villarreal" "Diego Roberto God°n Leal" "Defender" 34 3
"4511" "2009-10" "Villarreal" "Gonzalo Javier Rodr°guez Prado" "Defender" 16 0
"4512" "2009-10" "Villarreal" "Bruno Soriano Llido" "Midfielder" 27 0
"4513" "2009-10" "Villarreal" "RubÇn Gracia Calmache" "Midfielder" 7 2
"4514" "2009-10" "Villarreal" "Marcos Antonio Senna Da Silva" "Midfielder" 17 1
"4515" "2009-10" "Villarreal" "Nilmar Honorato Da Silva" "Forward" 18 11
"4516" "2009-10" "Villarreal" "Giuseppe Rossi" "Forward" 14 10
"4517" "2009-10" "Villarreal" "Joseba Llorente Etxarri" "Forward" 8 9
"4518" "2009-10" "Villarreal" "Robert Piräs" "Midfielder" 4 4
"4519" "2009-10" "Villarreal" "Santiago Cazorla Gonz†lez" "Midfielder" 11 5
"4520" "2009-10" "Villarreal" "Ariel Miguel Santiago Ibagaza" "Midfielder" 2 2
"4521" "2009-10" "Villarreal" "Javier Rodr°guez Venta" "Midfielder" 15 0
"4522" "2009-10" "Villarreal" "David Fuster Torrijos" "Midfielder" 2 3
"4523" "2009-10" "Villarreal" "Ivan Marcano Sierra" "Defender" 12 1
"4524" "2009-10" "Villarreal" "Sebasti†n Eguren Ledesma" "Midfielder" 8 0
"4526" "2009-10" "Villarreal" "Mateo Pablo Musacchio" "Defender" 4 0
"4528" "2009-10" "Villarreal" "Marco Gast¢n RubÇn Rodr°guez" "Forward" 1 0
"4529" "2009-10" "Villarreal" "Francisco JosÇ Olivas Alba" "Defender" 1 0
"4530" "2009-10" "Villarreal" "Javier Magro Matilla" "Midfielder" 1 0
"4532" "2009-10" "Athletic Club" "Andoni Iraola Sagarna" "Midfielder" 35 2
"4533" "2009-10" "Athletic Club" "Koikili Lertxundi Del Campo" "Midfielder" 16 0
"4534" "2009-10" "Athletic Club" "Fernando Gabriel Amorebieta Mardaras" "Defender" 32 0
"4535" "2009-10" "Athletic Club" "Mikel San JosÇ Dom°nguez" "Defender" 24 1
"4536" "2009-10" "Athletic Club" "Javier Mart°nez Aginaga" "Midfielder" 29 6
"4537" "2009-10" "Athletic Club" "Carlos Gurpegui Nausia" "Midfielder" 17 1
"4538" "2009-10" "Athletic Club" "Markel Susaeta Laskurain" "Midfielder" 14 4
"4539" "2009-10" "Athletic Club" "Pablo Orbaiz Lesaka" "Midfielder" 7 1
"4540" "2009-10" "Athletic Club" "Fernando Javier Llorente Torres" "Forward" 21 14
"4541" "2009-10" "Athletic Club" "Gaizka Toquero Pinedo" "Forward" 10 8
"4542" "2009-10" "Athletic Club" "Igor Gabilondo Del Campo" "Midfielder" 5 3
"4543" "2009-10" "Athletic Club" "Xabier Castillo Aranburu" "Midfielder" 17 0
"4544" "2009-10" "Athletic Club" "Francisco Javier Yeste Navarro" "Midfielder" 3 2
"4545" "2009-10" "Athletic Club" "Ustaritz Aldekoaotalora Astarloa" "Defender" 12 1
"4546" "2009-10" "Athletic Club" "Iker Muniain Go§i" "Forward" 2 4
"4547" "2009-10" "Athletic Club" "‡scar De Marcos Arana" "Forward" 3 1
"4548" "2009-10" "Athletic Club" "Ander Iturraspe Derteano" "Midfielder" 4 0
"4549" "2009-10" "Athletic Club" "David L¢pez Moreno" "Midfielder" 2 0
"4552" "2009-10" "Athletic Club" "Aitor Ocio Carri¢n" "Defender" 3 0
"4553" "2009-10" "Athletic Club" "Xabier Etxeita Gorritxategi" "Defender" 1 0
"4559" "2009-10" "AtlÇtico de Madrid" "Tomas Ujfalusi" "Midfielder" 25 0
"4560" "2009-10" "AtlÇtico de Madrid" "Antonio L¢pez Guerrero" "Midfielder" 26 2
"4561" "2009-10" "AtlÇtico de Madrid" "Luis Amaranto Perea Mosquera" "Defender" 26 0
"4562" "2009-10" "AtlÇtico de Madrid" "µlvaro Dom°nguez Soto" "Defender" 23 0
"4563" "2009-10" "AtlÇtico de Madrid" "Simao Pedro Fonseca Sabrosa" "Midfielder" 14 2
"4564" "2009-10" "AtlÇtico de Madrid" "JosÇ Manuel Jurado Mar°n" "Midfielder" 19 7
"4565" "2009-10" "AtlÇtico de Madrid" "Paulo Assunáao Da Silva" "Midfielder" 21 1
"4566" "2009-10" "AtlÇtico de Madrid" "Diego Mart°n Forl†n Corazo" "Forward" 17 18
"4567" "2009-10" "AtlÇtico de Madrid" "Sergio Leonel AgÅero Del Castillo" "Forward" 12 12
"4568" "2009-10" "AtlÇtico de Madrid" "JosÇ Antonio Reyes Calder¢n" "Forward" 5 2
"4569" "2009-10" "AtlÇtico de Madrid" "Juan Valera Esp°n" "Midfielder" 14 0
"4570" "2009-10" "AtlÇtico de Madrid" "Juan GutiÇrrez Moreno" "Defender" 15 2
"4571" "2009-10" "AtlÇtico de Madrid" "Tiago Cardoso Mendes" "Midfielder" 14 2
"4572" "2009-10" "AtlÇtico de Madrid" "Ra£l Garc°a Escudero" "Midfielder" 4 0
"4573" "2009-10" "AtlÇtico de Madrid" "Ibrahima Balde" "Forward" 3 3
"4574" "2009-10" "AtlÇtico de Madrid" "Maximiliano RubÇn Rodr°guez" "Midfielder" 1 2
"4575" "2009-10" "AtlÇtico de Madrid" "ClÇber Santana Loureiro" "Midfielder" 7 1
"4576" "2009-10" "AtlÇtico de Madrid" "Ignacio Camacho Barnola" "Midfielder" 5 0
"4577" "2009-10" "AtlÇtico de Madrid" "Eduardo Antonio Salvio" "Forward" 4 2
"4578" "2009-10" "AtlÇtico de Madrid" "Pablo Ib†§ez Tebar" "Defender" 5 0
"4580" "2009-10" "AtlÇtico de Madrid" "Leandro Cabrera Sas°a" "Defender" 4 0
"4581" "2009-10" "AtlÇtico de Madrid" "Jorge Resurrecci¢n Merodio" "Midfielder" 1 0
"4582" "2009-10" "AtlÇtico de Madrid" "Mariano AndrÇs Pern°a Molina" "Midfielder" 1 0
"4583" "2009-10" "AtlÇtico de Madrid" "John Gijsbert Heitinga" "Defender" 1 0
"4587" "2009-10" "Deportivo de La Coru§a" "Manuel Pablo Garc°a D°az" "Midfielder" 33 0
"4588" "2009-10" "Deportivo de La Coru§a" "Filipe Luis Kasmirski" "Midfielder" 19 3
"4589" "2009-10" "Deportivo de La Coru§a" "Alberto Lopo Garc°a" "Defender" 33 1
"4590" "2009-10" "Deportivo de La Coru§a" "Diego Daniel Colotto" "Defender" 30 3
"4591" "2009-10" "Deportivo de La Coru§a" "Juan Antonio Rodr°guez Villamuela" "Midfielder" 33 3
"4592" "2009-10" "Deportivo de La Coru§a" "Antonio Tom†s Gonz†lez" "Midfielder" 18 0
"4593" "2009-10" "Deportivo de La Coru§a" "Sergio Gonz†lez Soriano" "Midfielder" 14 0
"4594" "2009-10" "Deportivo de La Coru§a" "Adri†n L¢pez µlvarez" "Forward" 13 4
"4595" "2009-10" "Deportivo de La Coru§a" "JosÇ AndrÇs Guardado Hern†ndez" "Forward" 14 3
"4596" "2009-10" "Deportivo de La Coru§a" "Iv†n S†nchez-Rico Soto" "Forward" 1 8
"4597" "2009-10" "Deportivo de La Coru§a" "Pablo µlvarez N£§ez" "Midfielder" 6 2
"4598" "2009-10" "Deportivo de La Coru§a" "Laureano Sanabria Ruiz" "Midfielder" 18 0
"4599" "2009-10" "Deportivo de La Coru§a" "Juan Carlos Valer¢n Santana" "Midfielder" 1 1
"4600" "2009-10" "Deportivo de La Coru§a" "Juliano Roberto Antonello" "Midfielder" 8 3
"4601" "2009-10" "Deportivo de La Coru§a" "Lassad Hassen Nouioui" "Forward" 1 2
"4602" "2009-10" "Deportivo de La Coru§a" "Iv†n PÇrez Maceira" "Midfielder" 1 0
"4603" "2009-10" "Deportivo de La Coru§a" "Rodolfo Bodipo D°az" "Forward" 1 0
"4604" "2009-10" "Deportivo de La Coru§a" "Juan Dom°nguez Lamas" "Midfielder" 5 0
"4605" "2009-10" "Deportivo de La Coru§a" "JosÇ Eduardo Rosa Vale Castro" "Defender" 7 0
"4606" "2009-10" "Deportivo de La Coru§a" "Miguel µngel Ferrer Mart°nez" "Forward" 1 1
"4607" "2009-10" "Deportivo de La Coru§a" "Ra£l Garc°a Carnero" "Midfielder" 3 0
"4608" "2009-10" "Deportivo de La Coru§a" "Adri†n L¢pez Rodr°guez" "Defender" 2 0
"4609" "2009-10" "Deportivo de La Coru§a" "David Rochela Calvo" "Defender" 3 0
"4611" "2009-10" "Deportivo de La Coru§a" "Diego Seoane PÇrez" "Midfielder" 1 0
"4612" "2009-10" "Espanyol" "Francisco Javier Chica Torres" "Midfielder" 26 0
"4613" "2009-10" "Espanyol" "David Garc°a De la Cruz" "Midfielder" 19 0
"4614" "2009-10" "Espanyol" "Nicol†s Mart°n Pareja" "Defender" 26 0
"4615" "2009-10" "Espanyol" "Juan Daniel Forl°n" "Defender" 22 2
"4616" "2009-10" "Espanyol" "V°ctor Ruiz Torre" "Defender" 20 2
"4617" "2009-10" "Espanyol" "Joan Verd£ Fern†ndez" "Midfielder" 14 4
"4618" "2009-10" "Espanyol" "MoisÇs Hurtado PÇrez" "Midfielder" 24 0
"4619" "2009-10" "Espanyol" "Luis Garc°a Fern†ndez" "Forward" 23 3
"4620" "2009-10" "Espanyol" "JosÇ Mar°a Callej¢n Bueno" "Forward" 12 2
"4621" "2009-10" "Espanyol" "Iv†n Daniel Alonso Vallejo" "Forward" 6 5
"4622" "2009-10" "Espanyol" "Facundo Sebasti†n Roncaglia" "Defender" 13 0
"4623" "2009-10" "Espanyol" "Pablo Daniel Osvaldo" "Forward" 6 7
"4624" "2009-10" "Espanyol" "Ferr†n Corominas Telechea" "Forward" 4 1
"4625" "2009-10" "Espanyol" "JosÇ Fernando MarquÇs Mart°n" "Midfielder" 4 1
"4626" "2009-10" "Espanyol" "JosÇ Ra£l Baena Urdiales" "Midfielder" 8 0
"4628" "2009-10" "Espanyol" "Javier M†rquez Moreno" "Midfielder" 9 1
"4629" "2009-10" "Espanyol" "D°dac VilÖ Rosell¢" "Defender" 11 0
"4630" "2009-10" "Espanyol" "Shunsuke Nakamura" "Midfielder" 3 0
"4631" "2009-10" "Espanyol" "Iv†n Alexis Pillud" "Defender" 6 0
"4632" "2009-10" "Espanyol" "Ra£l Tamudo Montero" "Forward" 1 0
"4633" "2009-10" "Espanyol" "Jordi Amat Maas" "Defender" 4 0
"4638" "2009-10" "Osasuna" "CÇsar Azpilicueta Tanco" "Midfielder" 33 0
"4639" "2009-10" "Osasuna" "Ignacio Monreal Eraso" "Midfielder" 30 1
"4640" "2009-10" "Osasuna" "Miguel Fla§o Bezunartea" "Defender" 29 1
"4641" "2009-10" "Osasuna" "Sergio Fern†ndez Gonz†lez" "Defender" 20 0
"4642" "2009-10" "Osasuna" "Juan Francisco Torres BelÇn" "Midfielder" 13 4
"4643" "2009-10" "Osasuna" "Javad Nekounam" "Midfielder" 20 3
"4644" "2009-10" "Osasuna" "Francisco Pu§al Mart°nez" "Midfielder" 17 0
"4645" "2009-10" "Osasuna" "Javier Camu§as Gallego" "Forward" 27 3
"4646" "2009-10" "Osasuna" "Carlos Reina Aranda" "Forward" 4 5
"4647" "2009-10" "Osasuna" "Walter Gerardo Pandiani Urquiza" "Forward" 17 11
"4648" "2009-10" "Osasuna" "Masoud Shojaei Soleimani" "Forward" 5 2
"4649" "2009-10" "Osasuna" "JosÇ Romero Urtasun" "Defender" 18 0
"4650" "2009-10" "Osasuna" "Roberto L¢pez Esquiroz" "Midfielder" 8 0
"4651" "2009-10" "Osasuna" "Krisztian Vadocz" "Midfielder" 10 4
"4652" "2009-10" "Osasuna" "Javier Calleja Revilla" "Forward" 2 0
"4654" "2009-10" "Osasuna" "Oier Sanjurjo MatÇ" "Midfielder" 7 0
"4655" "2009-10" "Osasuna" "Eduardo Fernandes Pereira Gomes" "Forward" 1 1
"4656" "2009-10" "Osasuna" "Roversio Rodrigues De Barros" "Defender" 2 0
